final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
blue green algae,blue green algae,point contact,146537,World Register of Marine Species:  www.marinespecies.org,Bacteria,Cyanobacteria,NULL,NULL,NULL,NULL,NULL,1,Blue Green Algae,146537
blue green algae; verrucaria,blue green algae; verrucaria,point contact,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
boltenia spp,boltenia spp,point contact,103514,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,NULL,3,Boltenia,103514
boltenia villosa,boltenia villosa,point contact,250073,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,Boltenia villosa,4,Boltenia villosa,250073
boreolithothamnion phymatodeum,boreolithothamnion phymatodeum,point contact,1736219,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Hapalidiales,Hapalidiaceae,Boreolithothamnion,Boreolithothamnion phymatodeum,4,DROP,NA
boringclam,boringclam,point contact,105,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,NULL,NULL,NULL,NULL,3,Boring clam,105
bossiella exarticulata,bossiella exarticulata,point contact,1345663,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,Bossiella exarticulata,4,Encrusting coralline,15308
bossiella spp,bossiella spp,point contact,369418,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,NULL,1,Bossiella spp,369418
botrylloides spp,botrylloides spp,point contact,103528,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,NULL,4,Botrylloides spp,103528
botryllus spp,botryllus spp,point contact,103529,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,NULL,4,Botryllus spp,103529
bryopsis hypnoides,bryopsis hypnoides,point contact,144452,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,Bryopsis hypnoides,4,Bryopsis spp,143812
bryopsis spp,bryopsis spp,point contact,143812,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,NULL,3,Bryopsis spp,143812
bugula neritina,bugula neritina,point contact,111158,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,Bugula neritina,3,Bugula neritina,111158
bugula spp,bugula spp,NA,110839,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,NULL,5,Bugula spp,110839
bulla gouldiana,bulla gouldiana,quadrat,510427,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Cephalaspidea,Bullidae,Bulla,Bulla gouldiana,4,Bulla gouldiana,510427
cadlina luteomarginata,cadlina luteomarginata,quadrat,562476,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina,Cadlina luteomarginata,4,Cadlina luteomarginata,562476
californiconus californicus,californiconus californicus,quadrat,581058,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,Californiconus californicus,2,Californiconus californicus,581058
callianax biplicata,olivella biplicata,quadrat,1424883,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,Callianax,Callianax biplicata,3,Callianax biplicata,1424883
calliarthron spp,calliarthron spp,point contact,369428,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,NULL,1,Calliarthron spp,369428
calliarthron tuberculosum,calliarthron tuberculosum,point contact,372537,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,Calliarthron tuberculosum,4,Calliarthron spp,369428
calliostoma annulatum,calliostoma annulatum,quadrat,534197,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Calliostoma annulatum,3,Calliostoma annulatum,534197
calliostoma canaliculatum,calliostoma canaliculatum,quadrat,580410,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Calliostoma canaliculatum,3,Calliostoma canaliculatum,580410
calliostoma ligatum,calliostoma ligatum,quadrat,580412,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Calliostoma ligatum,1,Calliostoma ligatum,580412
calliostoma spp,calliostoma spp,NA,138584,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,NULL,5,Calliostoma spp,138584
calliostoma supragranosum,calliostoma supragranosum,quadrat,580415,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,Calliostoma supragranosum,3,Calliostoma supragranosum,580415
callista spp,callista spp,NA,138632,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Callista,NULL,5,Callista spp,138632
callithamnion acutum,callithamnion acutum,point contact,372538,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,Callithamnion acutum,4,Callithamnion acutum,372538
callithamnion pikeanum,callithamnion pikeanum,point contact,372539,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,Callithamnion pikeanum,1,Callithamnion pikeanum,372539
callithamnion rupicola,callithamnion rupicola,point contact,376427,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,Callithamnion rupicola,3,Callithamnion rupicola,376427
callithamnion spp,callithamnion spp,NA,143832,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Callithamnion,NULL,5,Callithamnion spp,143832
callophyllis pinnata,callophyllis pinnata,point contact,372542,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis pinnata,4,Callophyllis spp,144047
callophyllis spp,callophyllis spp,point contact,144047,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,NULL,3,Callophyllis spp,144047
callophyllis violacea,callophyllis violacea,point contact,372544,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis violacea,4,Callophyllis spp,144047
cancer productus,cancer productus,quadrat,440382,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer productus,3,Cancer productus,440382
cancridae,cancer spp,NA,106749,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,NULL,NULL,5,Cancridae,106749
carpopeltis bushiae,carpopeltis bushiae,point contact,371213,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Carpopeltis,Carpopeltis bushiae,3,Carpopeltis bushiae,371213
caulacanthus okamurae,caulacanthus okamurae,point contact,496188,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Caulacanthaceae,Caulacanthus,Caulacanthus okamurae,1,Caulacanthus okamurae,496188
caulacanthus okamurae; gloiopeltis furcata,caulacanthus okamurae; gloiopeltis furcata,NA,871,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,NULL,NULL,NULL,5,Caulacanthus okamurae/Gloiopeltis furcata,144141
cauloramphus echinus,cauloramphus echinus,point contact,469298,World Register of Marine Species:  www.marinespecies.org,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Calloporidae,Cauloramphus,Cauloramphus echinus,4,Cauloramphus echinus,469298
cebidichthys violaceus,cebidichthys violaceus,NA,280053,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Teleostei,Perciformes,Cebidichthyidae,Cebidichthys,Cebidichthys violaceus,5,DROP,NA
centroceras spp; ceramium spp; corallophila spp,centroceras spp; ceramium spp; polysiphonia spp,point contact,143671,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,NULL,NULL,1,Ceramiales,860
ceramium spp,ceramium spp,point contact,143834,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,NULL,4,Ceramiales,860
